stock_id,date,持股分級,人數,持有股數,占集保庫存數比例
0050  ,2026-06-26,17,3238748,20485500000,100.0
0051  ,2026-06-26,1,8388,1480429,6.04
0051  ,2026-06-26,2,4357,8656877,35.33
0051  ,2026-06-26,3,468,3403717,13.89
0051  ,2026-06-26,4,137,1696328,6.92
0051  ,2026-06-26,5,75,1346972,5.49
0051  ,2026-06-26,6,44,1121905,4.57
0051  ,2026-06-26,7,20,692339,2.82
0051  ,2026-06-26,8,9,403318,1.64
0051  ,2026-06-26,9,18,1173087,4.78
0051  ,2026-06-26,10,3,381000,1.55
0051  ,2026-06-26,11,2,557903,2.27
0051  ,2026-06-26,12,2,1127171,4.6
0051  ,2026-06-26,13,2,1568000,6.4
0051  ,2026-06-26,14,1,890954,3.63
0051  ,2026-06-26,15,0,0,0.0
0051  ,2026-06-26,17,13526,24500000,100.0
0052  ,2026-06-26,1,131372,35913357,1.4
0052  ,2026-06-26,2,246084,524911469,20.57
0052  ,2026-06-26,3,48520,376598192,14.75
0052  ,2026-06-26,4,15885,203069099,7.95
0052  ,2026-06-26,5,8578,156621783,6.13
0052  ,2026-06-26,6,7664,192673811,7.55
0052  ,2026-06-26,7,3145,111430847,4.36
0052  ,2026-06-26,8,1872,86484285,3.38
0052  ,2026-06-26,9,2858,200845163,7.87
0052  ,2026-06-26,10,797,108916594,4.26
0052  ,2026-06-26,11,234,65010203,2.54
0052  ,2026-06-26,12,43,20712080,0.81
0052  ,2026-06-26,13,30,20381631,0.79
0052  ,2026-06-26,14,17,15165183,0.59
0052  ,2026-06-26,15,63,432767553,16.96
0052  ,2026-06-26,17,467162,2551500000,100.0
0053  ,2026-06-26,1,4952,412227,7.51
0053  ,2026-06-26,2,787,1487021,27.09
0053  ,2026-06-26,3,74,598184,10.89
0053  ,2026-06-26,4,13,166000,3.02
0053  ,2026-06-26,5,14,269000,4.9
0053  ,2026-06-26,6,5,137000,2.49
0053  ,2026-06-26,7,2,64000,1.16
0053  ,2026-06-26,8,3,147000,2.67
0053  ,2026-06-26,9,3,215000,3.91
0053  ,2026-06-26,10,0,0,0.0
0053  ,2026-06-26,11,2,535642,9.76
0053  ,2026-06-26,12,1,419926,7.65
0053  ,2026-06-26,13,0,0,0.0
0053  ,2026-06-26,14,0,0,0.0
0053  ,2026-06-26,15,1,1037000,18.89
0053  ,2026-06-26,17,5857,5488000,100.0
0055  ,2026-06-26,1,3692,957010,1.06
0055  ,2026-06-26,2,6474,13510614,15.06
0055  ,2026-06-26,3,1111,8702275,9.7
0055  ,2026-06-26,4,313,3966310,4.42
0055  ,2026-06-26,5,196,3589845,4.0
0055  ,2026-06-26,6,137,3499811,3.9
0055  ,2026-06-26,7,52,1832843,2.04
0055  ,2026-06-26,8,34,1590756,1.77
0055  ,2026-06-26,9,55,3792687,4.23
0055  ,2026-06-26,10,27,3618812,4.03
0055  ,2026-06-26,11,13,3458000,3.85
0055  ,2026-06-26,12,9,4207424,4.69
0055  ,2026-06-26,13,4,2713000,3.02
0055  ,2026-06-26,14,0,0,0.0
0055  ,2026-06-26,15,4,34214613,38.16
0055  ,2026-06-26,17,12121,89654000,100.0
0056  ,2026-06-26,1,339379,98490138,0.72
0056  ,2026-06-26,2,746845,1743521403,12.83
0056  ,2026-06-26,3,214031,1655019256,12.18
0056  ,2026-06-26,4,91030,1150106013,8.46
0056  ,2026-06-26,5,54659,990788644,7.29
0056  ,2026-06-26,6,51870,1308364019,9.62
0056  ,2026-06-26,7,24691,873031899,6.42
0056  ,2026-06-26,8,15139,699138132,5.14
0056  ,2026-06-26,9,24918,1752815429,12.9
0056  ,2026-06-26,10,7984,1084222549,7.97
0056  ,2026-06-26,11,1992,541999786,3.98
0056  ,2026-06-26,12,350,171161797,1.25
0056  ,2026-06-26,13,128,88813081,0.65
0056  ,2026-06-26,14,54,50143575,0.36
0056  ,2026-06-26,15,147,1379418279,10.15
