stock_id,100plus_curr,400plus_curr,1000plus_curr,100plus_prev,400plus_prev,1000plus_prev,diff_100plus,diff_400plus,diff_1000plus,股票名稱
8112,49.1932050242324,41.64628175992381,38.079761754628024,46.09716163429672,38.709282352632954,34.06184115229636,3.09604338993568,2.9369994072908554,4.017920602331664,至上
6207,37.767000924508054,27.423433862770068,14.86264835311375,34.673333427973425,22.56958513571188,12.522901434519296,3.0936674965346285,4.853848727058189,2.3397469185944537,雷科
3231,70.98488433378408,66.03669351355316,61.681113258194756,67.97163361447875,62.59954994828107,58.189689119704525,3.013250719305333,3.4371435652720876,3.491424138490231,緯創
4741,68.67026815606158,51.5206948714554,40.074504024881705,65.6828941471723,51.31674267428843,40.074504024881705,2.987374008889276,0.20395219716697,0.0,泓瀚
3706,60.794786099010636,55.62292721017445,52.480707783706556,57.87849304622416,52.32906070017419,49.42195155749546,2.9162930527864788,3.2938665100002638,3.058756226211095,神達投控
6485,47.40269244759159,36.58412287352581,22.523521004605513,44.50560441534061,34.530213161443044,18.638918443888173,2.897088032250977,2.0539097120827634,3.8846025607173402,點序
3260,45.02941689168626,35.178205201034686,29.875012812853075,42.34241801239008,32.97851414894186,26.419208069401478,2.6869988792961834,2.199691052092824,3.4558047434515977,威剛
3689,45.698928826850135,32.9709978712161,19.388164992436703,43.085443605624185,29.34677677106892,17.138479152376476,2.6134852212259503,3.624221100147178,2.249685840060227,湧德
6126,48.60464796932761,39.59142907438083,34.73527209966043,46.144846270167115,37.649174805804705,30.303165482975587,2.4598016991604936,1.9422542685761215,4.432106616684841,信音
00984B,62.22408267574794,41.16557931453731,30.235766350120695,59.885966134106106,38.41443815549509,26.980000944326076,2.3381165416418312,2.75114115904222,3.2557654057946195,大華優利美A債15
3312,55.43809489312947,49.84252832750766,46.85612241553903,53.13302539936428,47.45731507172153,43.5495439155526,2.3050694937651883,2.3852132557861268,3.3065784999864363,弘憶股
5351,44.282387766863806,35.24138619902753,29.747743640131695,41.982361573187966,32.51768474989104,27.61553574293251,2.3000261936758406,2.7237014491364917,2.1322078971991836,鈺創
1563,65.30892635345515,47.26973060457836,34.65913020691541,63.06541732049207,44.71757845262144,32.602084747474095,2.2435090329630825,2.552152151956925,2.057045459441312,巧新
4739,56.31443288527574,45.854223773800115,36.30176041547192,54.16045878313371,43.987698709599634,32.24790500201149,2.15397410214203,1.8665250642004807,4.053855413460425,康普材料
3362,67.51107892595552,61.146687614523266,50.42726743564019,65.3774533729485,59.75277979170627,48.33905043315696,2.133625553007022,1.393907822816999,2.0882170024832263,先進光
2491,80.79217515364354,73.30272534386889,65.10262901180373,78.75861013559653,72.32968734757584,65.18798653789875,2.033565018047014,0.9730379962930442,-0.08535752609502367,訊碟
2468,60.306917905367875,54.01630408285021,52.68556740603645,58.49347543809574,51.51616289754919,50.025523415112275,1.8134424672721323,2.5001411853010254,2.660043990924173,華經
2493,59.9573771003013,52.46819613792729,45.61740596431787,58.21004121489697,51.093833890489314,46.05525356671746,1.7473358854043326,1.374362247437979,-0.43784760239959297,揚博
3093,79.15456172348487,75.84835666250947,69.8444267824751,77.41839142300671,74.6920504107951,69.8444267824751,1.7361703004781646,1.1563062517143692,0.0,港建*
00856B,72.19051825677268,63.61671083627798,44.16961130742049,70.48458480565371,63.64811542991755,44.16961130742049,1.705933451118966,-0.03140459363957149,0.0,永豐1-3年美公債
4729,65.56363210749765,53.265512966133485,48.77230656250268,63.864787774117836,52.252343687846505,46.56976739709639,1.6988443333798173,1.0131692782869806,2.202539165406286,熒茂
2727,52.33656734162238,34.54833173657874,17.472007421644452,50.656048691713195,34.01717979415725,17.206026338836857,1.6805186499091818,0.5311519424214879,0.26598108280759547,王品
6026,66.89074882403932,52.063787991130624,43.85568750423896,65.25462834771105,50.05027553877911,41.64080078575766,1.6361204763282728,2.013512452351513,2.2148867184812957,福邦證
2481,72.47478374483916,67.32414198516773,59.64161091252005,70.85109868005759,65.98591737296879,58.33710809208979,1.6236850647815686,1.3382246121989425,1.3045028204302582,強茂
5475,47.28914389613972,38.9856422101055,34.41106228426645,45.70713163198032,37.34556203737558,30.602823788432005,1.5820122641594025,1.640080172729924,3.808238495834445,德宏
6409,75.68297393973695,59.09958780923458,39.62929967978725,74.11320880612767,59.02385086599558,37.02546028744145,1.5697651336092804,0.07573694323900071,2.6038393923458045,旭隼
3376,66.15451194041358,55.28586482133557,43.90059773148483,64.5969013620913,53.355048922165,42.29104854726427,1.557610578322283,1.9308158991705753,1.6095491842205618,新日興
