stock_id,date,持股分級,人數,持有股數,占集保庫存數比例
00632R,2026-03-06,10,1786,254377251,12.78
00632R,2026-03-06,11,817,226054521,11.36
00632R,2026-03-06,12,252,123954870,6.23
00632R,2026-03-06,13,116,81236130,4.08
00632R,2026-03-06,14,65,58839556,2.95
00632R,2026-03-06,15,169,549023876,27.6
00632R,2026-03-06,17,60165,1989207730,100.0
00633L,2026-03-06,1,253,45500,0.02
00633L,2026-03-06,2,1995,4928439,2.76
00633L,2026-03-06,3,764,6243387,3.49
00633L,2026-03-06,4,343,4487440,2.51
00633L,2026-03-06,5,294,5443314,3.05
00633L,2026-03-06,6,319,8330668,4.66
00633L,2026-03-06,7,167,6021730,3.37
00633L,2026-03-06,8,129,6042223,3.38
00633L,2026-03-06,9,313,23416001,13.12
00633L,2026-03-06,10,149,20957000,11.74
00633L,2026-03-06,11,76,21620396,12.11
00633L,2026-03-06,12,22,10412000,5.83
00633L,2026-03-06,13,17,12062512,6.75
00633L,2026-03-06,14,7,6244000,3.49
00633L,2026-03-06,15,20,42203390,23.64
00633L,2026-03-06,17,4868,178458000,100.0
00634R,2026-03-06,1,49,4263,0.0
00634R,2026-03-06,2,334,836692,1.77
00634R,2026-03-06,3,123,1057180,2.23
00634R,2026-03-06,4,50,655400,1.38
00634R,2026-03-06,5,46,868631,1.83
00634R,2026-03-06,6,56,1493801,3.16
00634R,2026-03-06,7,33,1176000,2.48
00634R,2026-03-06,8,32,1509800,3.19
00634R,2026-03-06,9,58,4244000,8.98
00634R,2026-03-06,10,31,4649835,9.83
00634R,2026-03-06,11,22,6393762,13.53
00634R,2026-03-06,12,3,1600000,3.38
00634R,2026-03-06,13,4,2776000,5.87
00634R,2026-03-06,14,1,1000000,2.11
00634R,2026-03-06,15,7,18990636,40.18
00634R,2026-03-06,17,849,47256000,100.0
00635U,2026-03-06,1,21060,4817269,1.49
00635U,2026-03-06,2,30694,61080245,18.93
00635U,2026-03-06,3,4124,32476235,10.06
00635U,2026-03-06,4,1271,16467303,5.1
00635U,2026-03-06,5,874,16240633,5.03
00635U,2026-03-06,6,669,17137838,5.31
00635U,2026-03-06,7,353,12771971,3.96
00635U,2026-03-06,8,188,8858146,2.74
00635U,2026-03-06,9,320,23056946,7.14
00635U,2026-03-06,10,113,15790946,4.89
00635U,2026-03-06,11,37,9929992,3.07
00635U,2026-03-06,12,6,2808000,0.87
00635U,2026-03-06,13,7,5021000,1.55
00635U,2026-03-06,14,2,1724000,0.53
00635U,2026-03-06,15,22,94333476,29.24
00635U,2026-03-06,17,59740,322514000,100.0
00636 ,2026-03-06,1,1537,444598,0.34
00636 ,2026-03-06,2,5054,11960537,9.39
00636 ,2026-03-06,3,1323,10701391,8.4
00636 ,2026-03-06,4,535,6875085,5.39
00636 ,2026-03-06,5,358,6685901,5.25
00636 ,2026-03-06,6,332,8535927,6.7
00636 ,2026-03-06,7,154,5643581,4.43
00636 ,2026-03-06,8,103,4837405,3.79
00636 ,2026-03-06,9,188,13816670,10.85
00636 ,2026-03-06,10,96,13484294,10.59
00636 ,2026-03-06,11,27,7292248,5.72
00636 ,2026-03-06,12,12,5847404,4.59
00636 ,2026-03-06,13,4,2851000,2.23
00636 ,2026-03-06,14,4,3588000,2.81
00636 ,2026-03-06,15,9,24760959,19.44
00636 ,2026-03-06,17,9736,127325000,100.0
00636K,2026-03-06,1,3,1400,2.25
00636K,2026-03-06,2,4,10500,16.9
00636K,2026-03-06,3,1,5700,9.17
00636K,2026-03-06,4,0,0,0.0
00636K,2026-03-06,5,0,0,0.0
00636K,2026-03-06,6,0,0,0.0
00636K,2026-03-06,7,0,0,0.0
00636K,2026-03-06,8,1,44500,71.65
00636K,2026-03-06,9,0,0,0.0
00636K,2026-03-06,10,0,0,0.0
00636K,2026-03-06,11,0,0,0.0
00636K,2026-03-06,12,0,0,0.0
00636K,2026-03-06,13,0,0,0.0
00636K,2026-03-06,14,0,0,0.0
00636K,2026-03-06,15,0,0,0.0
00636K,2026-03-06,17,9,62100,100.0
00637L,2026-03-06,1,735,143043,0.01
00637L,2026-03-06,2,6013,15979881,1.37
00637L,2026-03-06,3,2660,22299053,1.92
00637L,2026-03-06,4,1176,15511114,1.33
00637L,2026-03-06,5,1122,21127534,1.82
00637L,2026-03-06,6,1187,31132636,2.68
00637L,2026-03-06,7,727,26507890,2.28
00637L,2026-03-06,8,576,27012860,2.33
00637L,2026-03-06,9,1265,94074183,8.11
00637L,2026-03-06,10,798,115864886,10.0
00637L,2026-03-06,11,415,119011943,10.27
00637L,2026-03-06,12,158,77648000,6.7
00637L,2026-03-06,13,65,44660000,3.85
00637L,2026-03-06,14,50,45415000,3.91
00637L,2026-03-06,15,139,502217977,43.34
00637L,2026-03-06,17,17086,1158606000,100.0
00638R,2026-03-06,1,59,8662,0.02
00638R,2026-03-06,2,227,581055,2.0
00638R,2026-03-06,3,87,746294,2.57
00638R,2026-03-06,4,47,633066,2.18
00638R,2026-03-06,5,39,754000,2.6
00638R,2026-03-06,6,32,825401,2.85
00638R,2026-03-06,7,18,650000,2.24
00638R,2026-03-06,8,14,658000,2.27
00638R,2026-03-06,9,27,1886000,6.51
00638R,2026-03-06,10,24,3655000,12.62
00638R,2026-03-06,11,9,2329648,8.04
00638R,2026-03-06,12,6,2926000,10.1
00638R,2026-03-06,13,0,0,0.0
00638R,2026-03-06,14,1,1000000,3.45
00638R,2026-03-06,15,3,12294874,42.47
00638R,2026-03-06,17,593,28948000,100.0
00639 ,2026-03-06,1,1175,389593,0.3
00639 ,2026-03-06,2,2942,7241575,5.59
00639 ,2026-03-06,3,1043,8460035,6.53
00639 ,2026-03-06,4,392,5054606,3.9
00639 ,2026-03-06,5,388,7178626,5.54
00639 ,2026-03-06,6,323,8458998,6.53
00639 ,2026-03-06,7,165,5926926,4.58
00639 ,2026-03-06,8,112,5238157,4.04
00639 ,2026-03-06,9,219,16079732,12.42
00639 ,2026-03-06,10,115,16352492,12.63
00639 ,2026-03-06,11,37,10962835,8.47
00639 ,2026-03-06,12,8,4047000,3.12
00639 ,2026-03-06,13,8,5337000,4.12
00639 ,2026-03-06,14,5,4542000,3.5
00639 ,2026-03-06,15,12,24133425,18.64
00639 ,2026-03-06,17,6944,129403000,100.0
00640L,2026-03-06,1,828,164543,1.32
00640L,2026-03-06,2,932,1921571,15.47
00640L,2026-03-06,3,157,1206557,9.71
00640L,2026-03-06,4,60,775244,6.24
00640L,2026-03-06,5,37,675208,5.43
00640L,2026-03-06,6,36,894651,7.2
00640L,2026-03-06,7,11,391221,3.15
00640L,2026-03-06,8,6,272400,2.19
00640L,2026-03-06,9,18,1316914,10.6
00640L,2026-03-06,10,6,896000,7.21
00640L,2026-03-06,11,1,300000,2.41
00640L,2026-03-06,12,3,1494963,12.03
00640L,2026-03-06,13,1,719000,5.78
00640L,2026-03-06,14,0,0,0.0
00640L,2026-03-06,15,1,1390728,11.19
00640L,2026-03-06,17,2097,12419000,100.0
00641R,2026-03-06,1,78,15467,0.01
00641R,2026-03-06,2,466,1221065,1.54
00641R,2026-03-06,3,209,1775849,2.24
00641R,2026-03-06,4,109,1422153,1.79
00641R,2026-03-06,5,107,2018876,2.54
00641R,2026-03-06,6,93,2459944,3.1
00641R,2026-03-06,7,62,2266317,2.85
00641R,2026-03-06,8,50,2330508,2.94
00641R,2026-03-06,9,127,9283630,11.71
00641R,2026-03-06,10,56,7962000,10.04
00641R,2026-03-06,11,24,6462000,8.15
00641R,2026-03-06,12,11,5471000,6.9
00641R,2026-03-06,13,1,720000,0.9
00641R,2026-03-06,14,6,5444000,6.86
00641R,2026-03-06,15,11,30405191,38.36
00641R,2026-03-06,17,1410,79258000,100.0
00642U,2026-03-06,1,2347,496757,0.16
00642U,2026-03-06,2,13068,28980521,9.82
00642U,2026-03-06,3,2533,21536942,7.3
00642U,2026-03-06,4,698,9290227,3.15
00642U,2026-03-06,5,684,13045750,4.42
00642U,2026-03-06,6,487,13014400,4.41
00642U,2026-03-06,7,262,9675351,3.28
00642U,2026-03-06,8,204,9801000,3.32
00642U,2026-03-06,9,288,21870421,7.41
00642U,2026-03-06,10,112,15747257,5.34
00642U,2026-03-06,11,52,14391000,4.88
00642U,2026-03-06,12,9,4314000,1.46
00642U,2026-03-06,13,5,3586000,1.21
00642U,2026-03-06,14,0,0,0.0
00642U,2026-03-06,15,15,129071374,43.77
00642U,2026-03-06,17,20764,294821000,100.0
00643 ,2026-03-06,1,359,90446,0.09
00643 ,2026-03-06,2,1909,5046862,5.3
00643 ,2026-03-06,3,647,5543847,5.83
00643 ,2026-03-06,4,237,3134242,3.29
00643 ,2026-03-06,5,172,3266181,3.43
00643 ,2026-03-06,6,191,4967347,5.22
00643 ,2026-03-06,7,95,3490717,3.67
00643 ,2026-03-06,8,81,3854876,4.05
00643 ,2026-03-06,9,128,9708116,10.21
00643 ,2026-03-06,10,71,10506143,11.05
00643 ,2026-03-06,11,22,6366000,6.69
00643 ,2026-03-06,12,6,3099000,3.25
00643 ,2026-03-06,13,9,6226000,6.54
00643 ,2026-03-06,14,5,4589000,4.82
00643 ,2026-03-06,15,6,25184223,26.48
00643 ,2026-03-06,17,3938,95073000,100.0
00643K,2026-03-06,1,0,0,0.0
00643K,2026-03-06,2,2,5000,3.93
00643K,2026-03-06,3,1,7000,5.51
00643K,2026-03-06,4,0,0,0.0
00643K,2026-03-06,5,0,0,0.0
00643K,2026-03-06,6,0,0,0.0
00643K,2026-03-06,7,1,37000,29.13
00643K,2026-03-06,8,0,0,0.0
00643K,2026-03-06,9,1,78000,61.41
00643K,2026-03-06,10,0,0,0.0
00643K,2026-03-06,11,0,0,0.0
00643K,2026-03-06,12,0,0,0.0
00643K,2026-03-06,13,0,0,0.0
00643K,2026-03-06,14,0,0,0.0
00643K,2026-03-06,15,0,0,0.0
00643K,2026-03-06,17,5,127000,100.0
00645 ,2026-03-06,1,4823,1334155,2.56
00645 ,2026-03-06,2,4964,10405213,20.01
00645 ,2026-03-06,3,846,6462816,12.42
00645 ,2026-03-06,4,229,2883711,5.54
00645 ,2026-03-06,5,121,2192333,4.21
00645 ,2026-03-06,6,100,2512302,4.83
00645 ,2026-03-06,7,42,1492548,2.87
00645 ,2026-03-06,8,21,984719,1.89
00645 ,2026-03-06,9,29,2111933,4.06
00645 ,2026-03-06,10,19,2988171,5.74
00645 ,2026-03-06,11,9,2382007,4.58
00645 ,2026-03-06,12,4,1920000,3.69
00645 ,2026-03-06,13,2,1361092,2.61
00645 ,2026-03-06,14,2,1932000,3.71
00645 ,2026-03-06,15,3,11034000,21.22
00645 ,2026-03-06,17,11214,51997000,100.0
00646 ,2026-03-06,1,44848,12669490,2.45
00646 ,2026-03-06,2,35338,74877358,14.48
00646 ,2026-03-06,3,6314,46553515,9.0
00646 ,2026-03-06,4,2180,27179715,5.25
00646 ,2026-03-06,5,1206,21465793,4.15
00646 ,2026-03-06,6,1047,26009362,5.03
00646 ,2026-03-06,7,479,16723051,3.23
